Title,Link,Skills
Software Engineer Apprentice (October 2021- March 2022),/rc/clk?jk=bc2301f0ce427cfc&fccid=7af474979a2ce5fb&vjs=3,"{'computer-science', 'mobile', 'software-engineering', 'react', 'design', 'engineering', 'es6', 'redux', 'typescript', 'ruby', 'node.js', 'support', 'python', 'elixir', 'css', 'testing'}"
Entry Level Full Stack Software Engineer,/rc/clk?jk=b3a37468aa5fe5b7&fccid=1b866506aec22461&vjs=3,"{'rspec', 'react', 'nodejs', 'schedule', 'html', 'ruby', 'new-relic', 'database', 'software', 'javascript', 'scalability', 'framework', 'system-integration', 'git', 'rails', 'computer-science', 'linux', 'design', 'jenkins', 'css', 'mysql', 'business'}"
Software Engineer-Remote OK,/rc/clk?jk=d819ac132ac30c99&fccid=aef928e89977f7f0&vjs=3,"{'shell', 'docker', 'design', 'kubernetes', 'languages', 'engineering', 'security', 'python', 'debugging', 'support', 'software', 'testing'}"
newSoftware Engineer,/company/JetHead-Development/jobs/Software-Engineer-686cf9e6d2658461?fccid=3aac2e78b3115a1c&vjs=3,"{'android', 'software', 'linux', 'schedule'}"
newSoftware Engineer University Grad,/rc/clk?jk=7671b93ff7b28597&fccid=8b219f1987ef65ea&vjs=3,"{'computer-science', 'c', 'shell', 'linux', 'design', 'computer-engineering', 'object-oriented-programming', 'commerce', 'python', 'bash', 'software', 'jenkins', 'git', 'testing', 'operating-systems', 'documentation', 'devops'}"
Software Engineer (Recent Graduate),/rc/clk?jk=9b6cad7f40080b62&fccid=ba0b4ef452449c10&vjs=3,"{'computer-science', 'software-engineering', 'mobile', 'design', 'ios', 'engineering', 'support', 'algorithm', 'android', 'software', 'git', 'business', 'data-structures'}"
newEmbedded Software Engineer,/rc/clk?jk=37e2c07439c94393&fccid=1639254ea84748b5&vjs=3,"{'component', 'computer-engineering', 'memory-management', 'coreos', 'synchronization', 'c', 'augmented-reality', 'software', 'power-management', 'electrical-engineering', 'operating-systems', 'documentation', 'virtual-reality', 'business', 'software-engineering', 'security', 'support', 'computer-science', 'linux', 'design', 'debugging', 'android', 'microcontroller'}"
newSoftware Engineer II,/rc/clk?jk=afc9fc3c1f5c2b79&fccid=734cb5a01ee60f80&vjs=3,"{'virtual-machine', 'c', 'azure', 'machine-learning', 'programming-language', 'languages', 'security', 'python', 'compiler', 'database', 'software', 'source-code'}"
newSoftware Test Engineer,/rc/clk?jk=54dbb17e335a71ee&fccid=8524239b088a6649&vjs=3,"{'computer-science', 'engineering', 'system-testing', 'server', 'mechanical-engineering', 'visual-studio', 'software', 'collaboration', 'windows', 'testing', 'project-management', 'marketing'}"
Software Engineer - Star Wars,/rc/clk?jk=73b1eb0276401954&fccid=f379417fa48d0010&vjs=3,"{'computer-science', 'mobile', 'game-engine', 'design', 'engineering', 'analytics', 'cpp', 'server', 'support', 'python', 'debugging', 'unreal-engine', 'software', 'collaboration'}"
"newSoftware Engineer, iOS",/rc/clk?jk=9e1d5133513f8976&fccid=1639254ea84748b5&vjs=3,"{'mobile', 'c', 'design', 'ios', 'api', 'play', 'memory-management', 'software', 'testing', 'business', 'medium'}"
"Associate Software Engineer, Gameplay - Diablo IV",/rc/clk?jk=3c5f7d88771e8357&fccid=645d83ee4cbe1d25&vjs=3,"{'computer-science', 'c', 'software-engineering', 'game-development', 'design', 'engineering', 'server', 'database', 'software', 'communications', 'artificial-intelligence', 'business'}"
newEntry Level Software Engineer,/rc/clk?jk=63dcd44e1a023eaf&fccid=edae4285faf6c2f0&vjs=3,"{'component', 'computer-science', 'c', 'design', 'data-analysis', 'engineering', 'languages', 'support', 'algorithm', 'python', 'debugging', 'software', 'data-processing', 'git', 'testing', 'java', 'project-management', 'documentation'}"
newSoftware Engineer,/rc/clk?jk=236e376b0f4bdb5a&fccid=6908893b5c7af08c&vjs=3,"{'component', 'javascript', 'angular', 'design', 'engineering', 'php', 'commerce', 'scripting-language', 'server', 'support', 'nodejs', 'debugging', 'software', 'css', 'html', 'testing', 'ajax'}"
Junior Software Engineer,/rc/clk?jk=4ff270a1b4233189&fccid=6a49665f89972ee4&vjs=3,"{'computer-science', 'sidekiq', 'react', 'ruby', 'engineering', 'commerce', 'monitoring', 'programming-language', 'support', 'python', 'debugging', 'redis', 'software', 'mysql', 'testing', 'collaboration', 'business', 'rails'}"
"Software Engineer, TikTok Backend",/company/TikTok/jobs/Software-Engineer-a8cb816f7fb21281?fccid=caed318a9335aac0&vjs=3,"{'javascript', 'computer-science', 'angular', 'mobile', 'c', 'design', 'languages', 'python', 'algorithm', 'schedule', 'software', 'collaboration', 'java', 'data-structures'}"
Front End Software Engineer,/company/TuSimple/jobs/Front-End-Software-Engineer-a053af9ea7623f3d?fccid=fea34c44eddebdae&vjs=3,"{'component', 'react', 'redux', 'api', 'pwa', 'schedule', 'cypress', 'selenium', 'artificial-intelligence', 'typescript', 'grpc', 'sass', 'javascript', 'framework', 'ant-design', 'security', 'algorithm', 'testing', 'computer-science', 'design', 'computer-vision'}"
newEmbedded Software Engineer,"/company/Cedarware,-Corp./jobs/Embedded-Software-Engineer-9cac361850d1e277?fccid=9b9b159adc443cc2&vjs=3","{'javascript', 'computer-science', 'c', 'computer-engineering', 'engineering', 'python', 'schedule', 'software', 'wireless'}"
Software Engineer,/rc/clk?jk=75424cabf7072b97&fccid=6824fc1f087bd63e&vjs=3,"{'design', 'engineering', 'sql', 'server', 'support', 'scala', 'databases', 'software', 'java', 'business', 'payments'}"
newEntry Level Software Developer,/company/Property-Matrix/jobs/Entry-Level-Software-Developer-e97330b2b6b8c368?fccid=fd1ea58cbd0e81fe&vjs=3,"{'computer-engineering', 'react', 'schedule', 'interaction', 'selenium', 'html', 'ruby', 'software', 'documentation', 'javascript', 'scalability', 'frontend', 'support', 'testing', 'rails', 'computer-science', 'design', 'sql', 'css', 'business'}"
"newInference Software Engineer, TensorRT - New College Grad",/rc/clk?jk=73e7c511e8ff7e5e&fccid=c267f29f0f85e8b8&vjs=3,"{'natural-language-processing', 'computer-science', 'c', 'computer-engineering', 'design', 'machine-learning', 'computer-vision', 'speech-recognition', 'deep-learning', 'debugging', 'pytorch', 'software', 'artificial-intelligence', 'tensorflow'}"
newSr Software Engineer,/rc/clk?jk=c789c1569adbfd22&fccid=7442885bc0fa7c14&vjs=3,"{'javascript', 'angular', 'software-engineering', 'react', 'design', 'algorithm', 'java', 'software', 'testing', 'data-structures'}"
Junior Full Stack Software Engineer,/rc/clk?jk=07939257d42c750b&fccid=66d394411dd2efad&vjs=3,"{'design', 'ruby', 'heroku', 'framework', 'sql', 'deployment', 'docker', 'cryptocurrency', 'databases', 'python', 'financial-system', 'mysql', 'finance', 'postgresql', 'git', 'rails'}"
newJunior Programmer,/company/Kalloc-Studios/jobs/Junior-Programmer-644ee8f820b10451?fccid=0565fb846b298bb6&vjs=3,"{'.net', 'computer-science', 'c', 'mobile', 'visualization', 'design', 'engineering', 'schedule', 'software', 'java', 'medium'}"
